,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Newtonmore,75,GB,1553666419,81,57.07,-4.12,10.56,5.1
1,Georgetown,0,GY,1553594035,94,6.8,-58.16,22.0,2.1
2,Ushuaia,75,AR,1553683640,81,-54.81,-68.31,10.0,7.27
3,Mlyniv,88,UA,1553659547,91,50.51,25.61,1.11,6.26
4,Nanortalik,24,GL,1553676114,100,60.14,-45.24,-4.06,8.17
5,Hithadhoo,36,MV,1553648994,100,-0.6,73.08,28.0,1.82
6,Port Elizabeth,1,US,1553597647,80,39.31,-74.98,4.44,3.12
7,Chokurdakh,20,RU,1553629037,74,70.62,147.9,-17.71,7.82
8,Egvekinot,76,RU,1553707743,87,66.32,-179.17,-2.71,6.82
9,Busselton,0,AU,1553639183,30,-33.64,115.35,26.11,7.02
10,Longyearbyen,68,NO,1553659101,76,78.22,15.63,-12.01,1.82
11,Vaini,40,IN,1553648484,83,15.34,74.49,25.0,2.6
12,Shache,48,CN,1553647477,42,38.42,77.24,9.0,1.82
13,Comodoro Rivadavia,0,AR,1553683262,71,-45.87,-67.48,14.0,6.57
14,Vila Velha,40,BR,1553675824,94,-3.71,-38.6,26.11,1.0
15,Saskylakh,80,RU,1553636948,87,71.97,114.09,-5.46,2.92
16,Vardo,1,US,1553598303,58,39.62,-77.74,1.67,1.32
17,San Patricio,92,PY,1553594018,53,-26.98,-56.83,20.2,2.62
18,Bredasdorp,80,ZA,1553662080,77,-34.53,20.04,18.33,3.6
19,Port Alfred,12,ZA,1553660423,96,-33.59,26.89,18.25,4.47
20,Sao Filipe,48,CV,1553672235,100,14.9,-24.5,20.5,4.97
21,Rikitea,32,PF,1553612741,96,-23.12,-134.97,26.85,6.37
22,Hirara,20,JP,1553636182,60,24.8,125.28,25.0,5.7
23,Lompoc,40,US,1553608634,93,34.64,-120.46,14.0,1.5
24,Albany,1,US,1553597286,36,42.65,-73.75,0.0,3.1
25,Lobatse,0,BW,1553660619,72,-25.21,25.68,20.0,7.2
26,Nakonde,92,ZM,1553658759,96,-9.33,32.75,17.8,1.47
27,Carauari,12,BR,1553596239,86,-4.88,-66.9,26.7,2.07
28,Hermanus,32,ZA,1553662270,77,-34.42,19.24,18.33,2.68
29,Castro,0,CL,1553684716,76,-42.48,-73.76,10.0,3.1
30,Khatanga,92,RU,1553639725,96,71.98,102.47,-2.16,5.97
31,Mataura,68,NZ,1553626494,65,-46.19,168.86,14.44,8.94
32,Poum,88,MK,1553660968,83,41.28,20.71,1.0,0.77
33,Nhulunbuy,75,AU,1553633820,66,-12.18,136.78,32.0,3.1
34,Nanakuli,90,US,1553617862,60,21.39,-158.15,27.0,4.1
35,Jalu,0,LY,1553660996,52,29.03,21.55,9.85,1.32
36,Chuy,100,UY,1553679718,96,-33.69,-53.46,17.9,4.87
37,Port Hardy,75,CA,1553609945,75,50.7,-127.42,8.0,2.1
38,Qaanaaq,48,GL,1553679629,73,77.48,-69.36,-24.36,5.52
39,Garwa,0,IN,1553646638,49,27.63,81.51,22.3,2.02
40,Broken Hill,0,AU,1553632897,26,-31.97,141.45,22.0,5.7
41,Kavaratti,0,IN,1553648982,100,10.57,72.64,28.6,2.92
42,Pangody,68,RU,1553647069,93,65.85,74.49,-0.66,8.87
43,Butaritari,48,KI,1553625033,100,3.07,172.79,28.95,8.27
44,Tuatapere,48,NZ,1553626774,65,-46.13,167.69,14.44,8.94
45,Puerto Carreno,48,CO,1553596279,73,6.19,-67.49,24.85,1.22
46,Smithers,75,CA,1553609750,64,54.78,-127.17,4.0,2.1
47,Ribeira Grande,12,PT,1553672873,99,38.52,-28.7,15.75,4.87
48,Tiksi,0,RU,1553633459,63,71.64,128.87,-15.91,1.87
49,Beloslav,0,BG,1553659249,75,43.19,27.7,7.0,1.5
50,Kapaa,90,US,1553618134,88,22.08,-159.32,20.0,4.6
